type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,lukta,gråta,ropa,sova,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,space,9.58967490005,,,,,,,,,2021_Mar_17_1501,59.7704336681,sp13_replication_swe,1,47,
training,anta,viska,smaka,vakna,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,space,4.72765280004,,,,,,,,,2021_Mar_17_1501,59.7704336681,sp13_replication_swe,1,47,
training,skratta,falla,grubbla,le,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,space,4.32349299989,,,,,,,,,2021_Mar_17_1501,59.7704336681,sp13_replication_swe,1,47,
training,rodna,prata,titta,stanna,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,space,4.78389069997,,,,,,,,,2021_Mar_17_1501,59.7704336681,sp13_replication_swe,1,47,
training,le,skratta,smaka,prata,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,space,10.1422426002,b,6.7638927002,return,764.1993159,space,3.77944299998,,,2021_Mar_17_1501,59.7704336681,sp13_replication_swe,1,47,
training,gråta,titta,lukta,viska,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,space,19.1097029001,,,,,,,,,2021_Mar_17_1501,59.7704336681,sp13_replication_swe,1,47,
training,grubbla,rodna,sova,ropa,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,1,,,,,space,17.9236608001,,,,,,,,,2021_Mar_17_1501,59.7704336681,sp13_replication_swe,1,47,
training,vakna,falla,anta,stanna,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,0,,,,,space,6.37903210009,,,,,,,,,2021_Mar_17_1501,59.7704336681,sp13_replication_swe,1,47,
leg,jogga,knalla,stampa,halta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,9.35574829997,b,10.6088140002,,,,,space,2.21720830002,2021_Mar_17_1501,59.7704336681,sp13_replication_swe,1,47,
arm,banka,piska,hiva,hacka,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,17.7348706,,,,,,,,,2021_Mar_17_1501,59.7704336681,sp13_replication_swe,1,47,
