type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,falla,rodna,gråta,lukta,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,space,37.3135609,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
training,le,grubbla,smaka,anta,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,space,7.488694,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
training,viska,stanna,titta,skratta,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,space,7.5989181,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
training,sova,prata,ropa,vakna,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,space,7.88372290001,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
training,ropa,anta,grubbla,vakna,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,space,14.2502842,b,7.17685419999,return,21.660304,space,3.69490130001,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
training,skratta,lukta,smaka,prata,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,space,8.7949256,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
training,rodna,stanna,gråta,viska,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,space,7.94079660001,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
training,falla,sova,le,titta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,space,10.0068174,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
,,,,,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,m,31.1231594,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
training,falla,sova,le,titta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,0,0,3,,,,,space,5.80399760001,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
training,rodna,stanna,gråta,viska,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,1,1,0,,,,,space,4.972289,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
training,ropa,anta,grubbla,vakna,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,2,2,1,,,,,space,23.7865584,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
training,skratta,lukta,smaka,prata,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,0,3,3,2,,,,,space,6.3379327,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
leg,springa,tåga,snubbla,glida,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,0,0,0,space,8.31135549999,b,2.6624037,,,,,space,2.5000147,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
leg,marschera,ränna,stövla,stega,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,1,1,1,space,9.00309899999,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
arm,rista,kasta,slipa,klicka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,2,2,2,space,6.60321890001,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
arm,vira,fila,signera,gripa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,3,3,3,space,10.1978664,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
arm,banka,piska,hiva,hacka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,4,4,4,space,10.4754681,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
leg,vingla,knäa,ragla,cykla,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,5,5,5,space,12.4299778,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
leg,traska,pinna,kliva,ströva,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,6,6,6,space,6.77434109998,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
arm,putta,daska,rycka,ösa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,7,7,7,space,11.8931321,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
arm,torka,fläta,snärta,klösa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,8,8,8,space,8.3894021,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
arm,slå,sno,repa,fånga,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,9,9,9,space,6.55949359998,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
leg,skynda,linka,svassa,kila,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,10,10,10,space,7.47373689999,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
leg,jogga,knalla,stampa,halta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,11,11,11,space,11.7723332,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
arm,grabba,knacka,hissa,rota,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,12,12,12,space,4.9161297,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
arm,greppa,knycka,skura,linda,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,13,13,13,space,6.67473529998,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
leg,vandra,flanera,stappla,vanka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,14,14,14,space,24.4882846,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
arm,nypa,borsta,karva,svabba,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,15,15,15,space,7.37203199998,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
leg,svaja,ila,stå,vada,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,16,16,16,space,5.17560469999,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
arm,pilla,bulta,plocka,klappa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,17,17,17,space,4.79581079999,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
leg,skutta,tassa,promenera,sparka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,18,18,18,space,12.2221672,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
arm,skala,vika,slunga,peta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,19,19,19,space,11.8421934,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
leg,trampa,löpa,rusa,gå,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,20,20,20,space,15.653479,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
arm,skyffla,norpa,tvätta,klippa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,0,21,21,21,space,12.6564189,,,,,,,,,2020_Nov_20_1107,60.3933661478,sp13_replication_swe,1,9,
