type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,skratta,prata,ropa,lukta,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,space,17.4301844,,,,,,,,,2020_Nov_13_1530,59.9048112589,sp13_replication_swe,1,12,
training,le,gråta,rodna,viska,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,space,10.944878,,,,,,,,,2020_Nov_13_1530,59.9048112589,sp13_replication_swe,1,12,
training,titta,falla,smaka,vakna,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,space,5.92723859998,,,,,,,,,2020_Nov_13_1530,59.9048112589,sp13_replication_swe,1,12,
training,stanna,sova,anta,grubbla,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,space,4.9024474,,,,,,,,,2020_Nov_13_1530,59.9048112589,sp13_replication_swe,1,12,
training,falla,stanna,vakna,le,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,space,5.38547100002,b,15.8958277,return,1001.4975469,space,35.962436,,,2020_Nov_13_1530,59.9048112589,sp13_replication_swe,1,12,
training,ropa,anta,skratta,gråta,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,space,7.52949419999,,,,,,,,,2020_Nov_13_1530,59.9048112589,sp13_replication_swe,1,12,
training,lukta,prata,sova,rodna,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,space,7.87682999999,,,,,,,,,2020_Nov_13_1530,59.9048112589,sp13_replication_swe,1,12,
training,grubbla,titta,viska,smaka,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,space,6.58360310001,,,,,,,,,2020_Nov_13_1530,59.9048112589,sp13_replication_swe,1,12,
arm,torka,fläta,snärta,klösa,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,7.62006239998,b,45.0734416,,,,,space,1.9669913,2020_Nov_13_1530,59.9048112589,sp13_replication_swe,1,12,
arm,skala,vika,slunga,peta,LEG,få göra en rytmisk rörelse med dina fötter,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina fötter. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,9.52759499999,,,,,,,,,2020_Nov_13_1530,59.9048112589,sp13_replication_swe,1,12,
