type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,gråta,sova,falla,ropa,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,space,8.6534297,,,,,,,,,2021_Feb_12_0822,59.9632904734,sp13_replication_swe,1,33,
training,titta,le,stanna,skratta,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,space,4.5583899,,,,,,,,,2021_Feb_12_0822,59.9632904734,sp13_replication_swe,1,33,
training,anta,rodna,vakna,viska,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,space,4.6016444,,,,,,,,,2021_Feb_12_0822,59.9632904734,sp13_replication_swe,1,33,
training,smaka,prata,lukta,grubbla,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,space,5.3351934,,,,,,,,,2021_Feb_12_0822,59.9632904734,sp13_replication_swe,1,33,
training,smaka,prata,titta,viska,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,,space,5.6442291,b,38.0702894,return,13.3802277,space,3.3064117,,,2021_Feb_12_0822,59.9632904734,sp13_replication_swe,1,33,
training,falla,anta,vakna,skratta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,2,,,,,space,9.5179256,,,,,,,,,2021_Feb_12_0822,59.9632904734,sp13_replication_swe,1,33,
training,lukta,rodna,stanna,sova,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,space,5.3456854,,,,,,,,,2021_Feb_12_0822,59.9632904734,sp13_replication_swe,1,33,
training,grubbla,le,ropa,gråta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,space,4.403566,,,,,,,,,2021_Feb_12_0822,59.9632904734,sp13_replication_swe,1,33,
arm,bulta,skyffla,klippa,klösa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,6.7232951,b,3.737428,,,,,space,1.9669826,2021_Feb_12_0822,59.9632904734,sp13_replication_swe,1,33,
leg,vandra,stampa,skejta,ströva,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,4.5542593,,,,,,,,,2021_Feb_12_0822,59.9632904734,sp13_replication_swe,1,33,
