type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,smaka,vakna,grubbla,stanna,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,space,6.47229210008,,,,,,,,,2021_Apr_23_1500,59.7496489704,sp13_replication_swe,1,19,
training,sova,anta,viska,rodna,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,space,3.33763610001,,,,,,,,,2021_Apr_23_1500,59.7496489704,sp13_replication_swe,1,19,
training,falla,lukta,skratta,prata,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,space,9.44364909991,,,,,,,,,2021_Apr_23_1500,59.7496489704,sp13_replication_swe,1,19,
training,le,gråta,ropa,titta,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,space,3.86740989995,,,,,,,,,2021_Apr_23_1500,59.7496489704,sp13_replication_swe,1,19,
training,skratta,rodna,prata,lukta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,space,13.7939894,b,6.96235699998,return,28.2264195001,space,3.76286349993,,,2021_Apr_23_1500,59.7496489704,sp13_replication_swe,1,19,
training,grubbla,viska,stanna,falla,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,space,5.77541160001,,,,,,,,,2021_Apr_23_1500,59.7496489704,sp13_replication_swe,1,19,
training,vakna,titta,le,anta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,space,4.23537989997,,,,,,,,,2021_Apr_23_1500,59.7496489704,sp13_replication_swe,1,19,
training,smaka,ropa,sova,gråta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,space,6.8405398,,,,,,,,,2021_Apr_23_1500,59.7496489704,sp13_replication_swe,1,19,
leg,jogga,halta,marschera,rusa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,3.96301309997,b,5.32320870005,,,,,space,6.9668843,2021_Apr_23_1500,59.7496489704,sp13_replication_swe,1,19,
arm,bulta,skyffla,klippa,klösa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,5.88639790006,,,,,,,,,2021_Apr_23_1500,59.7496489704,sp13_replication_swe,1,19,
