type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,ropa,rodna,prata,gråta,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,space,9.102394,,,,,,,,,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
training,grubbla,lukta,falla,titta,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,space,6.4041129,,,,,,,,,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
training,viska,le,sova,smaka,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,space,6.431502,,,,,,,,,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
training,skratta,vakna,stanna,anta,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,space,19.383313,,,,,,,,,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
training,lukta,ropa,prata,gråta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,space,15.6934682,b,6.1054676,return,648.9796901,space,71.6286668,,,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
training,titta,rodna,falla,anta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,space,5.217104,,,,,,,,,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
training,vakna,smaka,le,viska,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,space,10.0908332,,,,,,,,,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
training,skratta,stanna,grubbla,sova,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,space,10.1810049,,,,,,,,,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
arm,linda,grabba,klicka,vira,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,10.4775729,b,13.951058,,,,,space,2.0338079,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
leg,fly,tåga,stega,strutta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,11.0917787,,,,,,,,,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
leg,tassa,lunka,kliva,halka,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,2,2,2,space,9.804552,,,,,,,,,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
leg,springa,stappla,stövla,svassa,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,3,3,3,space,12.3308965,,,,,,,,,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
arm,tvätta,hiva,peta,rista,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,4,4,4,space,12.5977996,,,,,,,,,2021_Feb_12_1023,60.0027241239,sp13_replication_swe,1,34,
