type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,anta,gråta,stanna,prata,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,space,8.7382583,,,,,,,,,2020_Dec_04_1519,59.8175206716,sp13_replication_swe,1,20,
training,grubbla,sova,lukta,skratta,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,space,10.6898059,,,,,,,,,2020_Dec_04_1519,59.8175206716,sp13_replication_swe,1,20,
training,vakna,viska,smaka,le,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,space,14.8896286,,,,,,,,,2020_Dec_04_1519,59.8175206716,sp13_replication_swe,1,20,
training,falla,titta,ropa,rodna,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,space,11.2609408,,,,,,,,,2020_Dec_04_1519,59.8175206716,sp13_replication_swe,1,20,
training,skratta,ropa,gråta,vakna,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,space,10.2258219,b,20.4543043,return,439.4193663,space,33.6068274,,,2020_Dec_04_1519,59.8175206716,sp13_replication_swe,1,20,
training,le,viska,grubbla,lukta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,space,11.8467394,,,,,,,,,2020_Dec_04_1519,59.8175206716,sp13_replication_swe,1,20,
training,rodna,titta,anta,falla,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,space,9.1357507,,,,,,,,,2020_Dec_04_1519,59.8175206716,sp13_replication_swe,1,20,
training,smaka,prata,sova,stanna,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,space,8.4511424,,,,,,,,,2020_Dec_04_1519,59.8175206716,sp13_replication_swe,1,20,
leg,vada,trippa,stå,linka,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,8.5091717,b,5.4428668,,,,,space,13.5828533,2020_Dec_04_1519,59.8175206716,sp13_replication_swe,1,20,
arm,peta,svabba,fila,snärta,ARM,få göra en rytmisk rörelse med dina händer,Experimentledaren kommer nu att visa dig den rytmiska rörelsen som du ska göra med dina händer. Du kommer att få gott om tid för att öva på den innan du börjar med uppgiften.,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,5.1859496,,,,,,,,,2020_Dec_04_1519,59.8175206716,sp13_replication_swe,1,20,
