type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,stanna,grubbla,skratta,viska,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,space,12.3360516999,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
training,titta,prata,ropa,sova,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,space,15.0941021,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
training,vakna,anta,le,falla,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,space,5.64868850005,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
training,smaka,rodna,lukta,gråta,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,space,6.00427230005,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
training,grubbla,stanna,smaka,viska,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,,,,space,5.62495299999,b,6.95796989999,return,42.1283095001,space,7.63298170001,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
training,le,gråta,titta,vakna,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,3,,,,,space,5.36679909995,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
training,lukta,falla,ropa,anta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,space,5.79677609995,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
training,skratta,prata,rodna,sova,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,1,,,,,space,5.31565549993,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
arm,tvätta,hiva,peta,rista,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,5.6109042,b,7.5585728999,,,,,space,4.01698279998,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
leg,glida,ragla,stå,stiga,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,4.65329569997,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
arm,greppa,slunga,fånga,norpa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,2,2,2,space,5.33907830005,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
leg,springa,stappla,stövla,svassa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,3,3,3,space,9.39413230005,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
arm,bulta,skyffla,klippa,klösa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,4,4,4,space,10.7652181999,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
leg,vada,trippa,vingla,snava,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,5,5,5,space,6.9806605,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
leg,ila,snubbla,skynda,smyga,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,6,6,6,space,10.7288612,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
arm,vika,gripa,slå,torka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,7,7,7,space,8.20030319993,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
leg,fly,tåga,stega,strutta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,8,8,8,space,8.89024760004,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
leg,löpa,ränna,skutta,sparka,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,9,9,9,space,9.76663930004,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
arm,linda,grabba,klicka,vira,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,10,10,10,space,6.98580390005,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
arm,svabba,nypa,fila,borsta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,11,11,11,space,6.53190330009,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
arm,hacka,sno,knycka,slipa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,12,12,12,space,15.3416537,,,,,,,,,2021_Jun_04_1319,59.9393533889,sp13_replication_swe,1,73,
