type,word1,word2,word3,word4,BlockType,ShortInstr,LongInstr,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,word_presentation_practice.thisRepN,word_presentation_practice.thisTrialN,word_presentation_practice.thisN,word_presentation_practice.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
training,titta,vakna,viska,stanna,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,space,14.6169551,,,,,,,,,2020_Nov_20_1331,60.0151118014,sp13_replication_swe,1,13,
training,sova,skratta,smaka,rodna,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,space,5.322021,,,,,,,,,2020_Nov_20_1331,60.0151118014,sp13_replication_swe,1,13,
training,le,grubbla,gråta,ropa,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,space,7.05867170001,,,,,,,,,2020_Nov_20_1331,60.0151118014,sp13_replication_swe,1,13,
training,falla,lukta,anta,prata,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,space,6.30122549998,,,,,,,,,2020_Nov_20_1331,60.0151118014,sp13_replication_swe,1,13,
training,falla,ropa,titta,stanna,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,space,7.037648,b,7.79319270002,return,7.2974031,space,21.9444563,,,2020_Nov_20_1331,60.0151118014,sp13_replication_swe,1,13,
training,grubbla,skratta,anta,gråta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,1,0,,,,,space,7.6674761,,,,,,,,,2020_Nov_20_1331,60.0151118014,sp13_replication_swe,1,13,
training,lukta,smaka,prata,vakna,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,space,6.6745966,,,,,,,,,2020_Nov_20_1331,60.0151118014,sp13_replication_swe,1,13,
training,le,sova,rodna,viska,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,space,6.173473,,,,,,,,,2020_Nov_20_1331,60.0151118014,sp13_replication_swe,1,13,
arm,rota,bulta,ösa,slipa,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,space,6.65506809999,b,11.8762737,,,,,space,5.16683890001,2020_Nov_20_1331,60.0151118014,sp13_replication_swe,1,13,
leg,stövla,springa,svaja,skutta,CONTROL,tyst få hålla orden i minnet,"Den här gången behöver du alltså inte utföra några rörelser, utan endast hålla orden tyst i minnet.",0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,space,15.3477037,,,,,,,,,2020_Nov_20_1331,60.0151118014,sp13_replication_swe,1,13,
